# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: um, datatype: float64}
# - {name: spectral irradiance, unit: W / (m2 um), datatype: float64, description: Averaged
#     over a small bandwidth centered at wavelength.}
# meta: !!omap
# - {Source: 'ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance
#     Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken,
#     PA.'}
# - solar constant: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: W / m2}
#     value: 1366.1
# schema: astropy-2.0
wavelength "spectral irradiance"
4.82 4.071
4.84 4.003
4.86 3.936
4.88 3.87
4.9 3.806
4.92 3.743
4.94 3.681
4.96 3.621
4.98 3.562
5.0 3.504
5.05 3.394
5.1 3.267
5.15 3.146
5.2 3.03
5.25 2.92
5.3 2.815
5.35 2.715
5.4 2.619
5.45 2.527
5.5 2.439
5.55 2.355
5.6 2.275
5.65 2.198
5.7 2.124
5.75 2.054
5.8 1.986
5.85 1.921
5.9 1.859
5.95 1.799
6.0 1.742
6.05 1.687
6.1 1.634
6.15 1.583
6.2 1.534
6.25 1.487
6.3 1.442
6.35 1.399
6.4 1.357
6.45 1.317
6.5 1.278
6.55 1.24
6.6 1.204
6.65 1.17
6.7 1.136
6.75 1.104
6.8 1.073
6.85 1.043
6.9 1.014
6.95 0.9862
7.0 0.9592
7.05 0.9331
7.1 0.908
7.15 0.8836
7.2 0.8601
7.25 0.8374
7.3 0.8154
7.35 0.7942
7.4 0.7736
7.45 0.7537
7.5 0.7344
7.55 0.7158
7.6 0.6977
7.65 0.6802
7.7 0.6633
7.75 0.6469
7.8 0.631
7.85 0.6156
7.9 0.6006
7.95 0.5862
8.0 0.5721
8.05 0.5585
8.1 0.5453
8.15 0.5324
8.2 0.52
8.25 0.5079
8.3 0.4961
8.35 0.4847
8.4 0.4737
8.45 0.4629
8.5 0.4525
8.55 0.4423
8.6 0.4324
8.65 0.4228
8.7 0.4135
8.75 0.4044
8.8 0.3956
8.85 0.387
8.9 0.3787
8.95 0.3706
9.0 0.3627
9.05 0.355
9.1 0.3475
9.15 0.3402
9.2 0.3331
9.25 0.3262
9.3 0.3195
9.35 0.3129
9.4 0.3065
9.45 0.3003
9.5 0.2942
9.55 0.2883
9.6 0.2825
9.65 0.2769
9.7 0.2714
9.75 0.2661
9.8 0.2608
9.85 0.2558
9.9 0.2508
9.95 0.246
10.0 0.2412
11.0 0.1635
12.0 0.1152
13.0 0.08341
14.0 0.06188
15.0 0.04686
16.0 0.03613
17.0 0.0283
18.0 0.02247
19.0 0.01807
20.0 0.0147
25.0 0.006054
30.0 0.002928
35.0 0.001584
40.0 0.0009307
50.0 0.0003826
60.0 0.000185
80.0 5.882e-05
100.0 2.418e-05
120.0 1.169e-05
150.0 4.807e-06
200.0 1.528e-06
250.0 6.275e-07
300.0 2.95e-07
400.0 1.014e-07
1000.0 3.384e-09
